ID,aCO2-1,aCO2-2,aCO2-3,aCO2-4,aCO2-5,aCO2-6,eCO2-1,eCO2-2,eCO2-3,eCO2-4,eCO2-5,eCO2-6
Protozoa_ASV215,0.003724395,0,0.002148689,0,0,0,0.002721673,0.002721673,0,0.000859476,0,0
Protozoa_ASV1399,0,0,0,0,0,0,0.000859476,0.002721673,0,0.00071623,0,0.000859476
Protozoa_ASV174,0,0,0.002291935,0,0.001145968,0.002148689,0,0,0,0,0,0.00143246
Protozoa_ASV2575,0,0,0,0,0,0,0.002291935,0,0,0.001002722,0,0.002435181
Protozoa_ASV314,0,0,0.001145968,0,0,0.000143246,0,0.002435181,0,0,0.000429738,0.001575705
Protozoa_ASV171,0,0.001575705,0.002291935,0,0,0.002435181,0,0.002005443,0,0.003008165,0,0.003724395
Protozoa_ASV854,0,0,0,0.005156854,0,0,0,0,0.003151411,0.002578427,0,0.001862197
Protozoa_ASV65,0.008881249,0.009024495,0.00744879,0,0.006159576,0.00143246,0.013035382,0.010313709,0.005586592,0.016473285,0.011746168,0.005013608
Protozoa_ASV4,0.021343647,0.023492336,0.046554935,0.035811488,0.011602922,0.014038103,0.023778828,0.016473285,0.019911188,0.028362699,0.031370864,0.043403524
Protozoa_ASV27,0.010456955,0.007878527,0.01203266,0.015184071,0.008594757,0.003294657,0.010600201,0.013608366,0.011459676,0.00673256,0.009454233,0.005156854
Protozoa_ASV262,0,0.000429738,0.001575705,0.001145968,0.009024495,0.000572984,0.003724395,0.000859476,0.000572984,0.002435181,0.002291935,0.002864919
Protozoa_ASV384,0,0.001575705,0.00071623,0.000859476,0.00071623,0,0,0.000859476,0.000859476,0.001002722,0,0.000429738
Protozoa_ASV158,0.004870362,0.001289214,0.002864919,0.003008165,0.002005443,0,0.002435181,0,0.002291935,0.002005443,0.001289214,0.010170463
Protozoa_ASV1414,0,0,0,0,0.00143246,0,0.00071623,0.002864919,0,0,0.00143246,0
Protozoa_ASV836,0,0.003724395,0,0.009024495,0,0.002721673,0.003008165,0.002864919,0.003581149,0.01131643,0.001145968,0
Protozoa_ASV1047,0.002291935,0.002005443,0,0.001002722,0.000286492,0,0.002578427,0.000429738,0.001145968,0,0.001002722,0.000286492
Protozoa_ASV38,0.006446068,0.011173184,0.01131643,0.01203266,0.004440625,0.0053001,0.012319152,0.027359977,0.017762498,0.007305544,0.008451511,0.006589314
Protozoa_ASV448,0.0053001,0.00143246,0.00071623,0.000572984,0,0.001575705,0,0,0,0,0,0.001575705
Protozoa_ASV1925,0,0,0,0,0.00071623,0,0,0,0,0,0.001575705,0.000859476
Protozoa_ASV2579,0,0.001289214,0,0,0,0,0.001718951,0,0.002721673,0,0,0
Protozoa_ASV58,0,0.0053001,0.007878527,0.00673256,0.001718951,0.004297379,0.00673256,0.004297379,0.008451511,0,0.005729838,0
Protozoa_ASV618,0,0,0,0,0,0,0.000859476,0.00143246,0.00071623,0.00744879,0.000429738,0.00071623
Protozoa_ASV2010,0,0.001575705,0,0,0.000286492,0.002578427,0,0,0,0.000572984,0.000572984,0
Protozoa_ASV1092,0.000572984,0,0,0.00071623,0,0,0.000859476,0.000286492,0,0,0.000572984,0
Protozoa_ASV940,0,0,0,0.001289214,0,0.000572984,0,0.002291935,0.00071623,0,0.001289214,0.000859476
Protozoa_ASV1372,0,0.003008165,0,0,0.001002722,0.00071623,0,0.003151411,0,0,0,0.00071623
Protozoa_ASV162,0,0.003008165,0.002864919,0.004440625,0,0,0,0.006875806,0.006446068,0.002435181,0.004870362,0
Protozoa_ASV105,0.007735281,0.004870362,0.004583871,0.006446068,0.003437903,0.003437903,0.005586592,0.007305544,0.008594757,0.006159576,0.006875806,0.004010887
Protozoa_ASV170,0,0.004583871,0.001862197,0.004154133,0.003581149,0.003008165,0,0.002148689,0.004297379,0.006875806,0.003867641,0.010743446
Protozoa_ASV176,0.003437903,0.001002722,0.002291935,0.003294657,0.001002722,0.00673256,0.002148689,0.001145968,0.003008165,0.00673256,0.003724395,0.007592036
Protozoa_ASV874,0.002578427,0.002578427,0,0.003151411,0,0,0.004297379,0,0.002435181,0.001862197,0.001145968,0
Protozoa_ASV183,0.002721673,0.003867641,0.002148689,0.004727116,0.005873084,0.00143246,0.002005443,0.004010887,0.004727116,0,0.002864919,0.012605644
Protozoa_ASV1816,0.022059877,0,0,0,0.008165019,0.004583871,0,0,0,0,0,0
Protozoa_ASV898,0,0,0,0.002291935,0,0,0,0,0.001862197,0,0.001002722,0
Protozoa_ASV123,0,0.000859476,0.003437903,0,0.004727116,0.001145968,0.002721673,0,0.005443346,0.001289214,0,0.005873084
Protozoa_ASV284,0.001862197,0.002148689,0.00071623,0.003008165,0.000572984,0.00071623,0.003151411,0.002005443,0.000429738,0.000859476,0.000572984,0.002291935
Protozoa_ASV1899,0.000572984,0.000572984,0,0,0.000859476,0.000572984,0,0,0.001145968,0,0.00071623,0.000429738
Protozoa_ASV834,0,0,0,0.015327317,0.008881249,0,0,0,0,0.00601633,0,0.014038103
Protozoa_ASV53,0.013178628,0.010600201,0.008021773,0.010743446,0.157857041,0.004870362,0.010313709,0.004297379,0.00744879,0.014754333,0.008165019,0.015184071
Protozoa_ASV121,0.005443346,0.002005443,0.004297379,0.003294657,0.004154133,0.001862197,0.00601633,0.005586592,0.004727116,0.003151411,0.003724395,0.00673256
Protozoa_ASV549,0,0.000286492,0.000429738,0,0.001145968,0,0,0,0,0.001289214,0,0
Protozoa_ASV1141,0.001718951,0,0,0.000429738,0,0,0.003581149,0.000572984,0,0,0.000286492,0
